Dataset,Samples,Features,Defective_Ratio,Class_Balance,Missing_Values,Missing_Ratio,RF_Accuracy,RF_F1_Score
CM1,505,40,0.09504950495049505,0.1050328227571116,161,0.0077758995411736295,0.8910891089108911,0.8491006168679696
JM1,10878,21,0.19323405037690752,0.2395168641750228,0,0.0,0.8170955882352942,0.7878662619737504
KC1,2107,21,0.15424774560987187,0.18237934904601572,0,0.0,0.8388625592417062,0.8179406818529277
KC3,458,40,0.09388646288209607,0.10361445783132531,258,0.01373948237298967,0.9021739130434783,0.855776397515528
KC4,125,40,0.488,0.953125,0,0.0,0.88,0.88
MC1,9466,39,0.007183604479188675,0.0072355820387316454,0,0.0,0.9941921858500528,0.9928235851632817
MC2,161,40,0.32298136645962733,0.47706422018348627,34,0.005150734737161036,0.6666666666666666,0.6624338624338624
MW1,403,40,0.07692307692307693,0.08333333333333333,139,0.00841251588694547,0.8765432098765432,0.8765432098765432
PC1,1107,40,0.06865401987353206,0.07371483996120272,348,0.007667393747108203,0.9414414414414415,0.9295161422820998
PC2,5589,40,0.00411522633744856,0.004132231404958678,4004,0.01747334703620788,0.9955277280858676,0.9932966036392387
PC3,1563,40,0.10236724248240563,0.11404133998574484,438,0.006834886007209401,0.865814696485623,0.8416432358900422
PC4,1458,40,0.12208504801097393,0.1390625,0,0.0,0.9041095890410958,0.8874715767289667
PC5,17186,39,0.0300244384964506,0.030953809238152368,0,0.0,0.9773123909249564,0.9749710707442044
