Dataset,Category,Samples,Features,Missing_Values,Defective_Ratio
CM1,Original,505,40,161,0.09504950495049505
JM1,Original,10878,21,0,0.19323405037690752
KC1,Original,2107,21,0,0.15424774560987187
KC3,Original,458,40,258,0.09388646288209607
KC4,Original,125,40,0,0.488
MC1,Original,9466,39,0,0.007183604479188675
MC2,Original,161,40,34,0.32298136645962733
MW1,Original,403,40,139,0.07692307692307693
PC1,Original,1107,40,348,0.06865401987353206
PC2,Original,5589,40,4004,0.00411522633744856
PC3,Original,1563,40,438,0.10236724248240563
PC4,Original,1458,40,0,0.12208504801097393
PC5,Original,17186,39,0,0.0300244384964506
CM1,D',344,37,0,0.12209302325581395
JM1,D',9591,21,0,0.1834011052027943
KC1,D',2095,21,0,0.15513126491646778
KC3,D',200,39,0,0.18
KC4,D',0,0,0,0.0
MC1,D',8737,38,0,0.007782991873640838
MC2,D',125,39,0,0.352
MW1,D',263,37,0,0.10266159695817491
PC1,D',735,37,0,0.08299319727891157
PC2,D',1493,36,0,0.010716677829872739
PC3,D',1099,37,0,0.12556869881710647
PC4,D',1379,37,0,0.12907904278462654
PC5,D',16962,38,0,0.029595566560547105
CM1,D'',327,37,0,0.12844036697247707
JM1,D'',7720,21,0,0.20880829015544042
KC1,D'',1162,21,0,0.25301204819277107
KC3,D'',194,39,0,0.18556701030927836
KC4,D'',0,0,0,0.0
MC1,D'',1952,38,0,0.018442622950819672
MC2,D'',124,39,0,0.3548387096774194
MW1,D'',250,37,0,0.1
PC1,D'',679,37,0,0.08100147275405008
PC2,D'',722,36,0,0.0221606648199446
PC3,D'',1053,37,0,0.12345679012345678
PC4,D'',1270,37,0,0.13858267716535433
PC5,D'',1694,38,0,0.27036599763872493
